Artifact,OriginalVersion,Architecture,ReleaseUse,FileSize,SizeBasedVersion,SameAsOriginal,NoAssayDev,ReleaseBasedAndSame
ts-assaydev-factory-template,6.7.15,amd64,6.7.15_AssayDev,27292,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-factory-template,6.7.15.1,amd64,6.7.15.1_AssayDev,27320,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-factory-template,6.7.15.1,amd64,6.7.15.2_AssayDev,27320,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-factory-template,6.7.16,amd64,6.7.16_AssayDev,27356,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-factory-template,6.7.17,amd64,6.7.17_AssayDev,27296,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-factory-template,6.7.17,amd64,6.7.17.1_AssayDev,27296,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-genxdockerupdate,6.7.15,amd64,6.7.15_AssayDev,934621728,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-genxdockerupdate,6.7.15.1,amd64,6.7.15.1_AssayDev,937994180,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-genxdockerupdate,6.7.15.1,amd64,6.7.15.2_AssayDev,937994180,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-genxdockerupdate,6.7.16,amd64,6.7.16_AssayDev,944578504,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-genxdockerupdate,6.7.17,amd64,6.7.17_AssayDev,938662160,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-genxdockerupdate,6.7.17,amd64,6.7.17.1_AssayDev,938662160,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-grws,6.7.15,amd64,6.7.15_AssayDev,42867836,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-grws,6.7.15.1,amd64,6.7.15.1_AssayDev,42867876,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-grws,6.7.15.1,amd64,6.7.15.2_AssayDev,42867876,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-grws,6.7.16,amd64,6.7.16_AssayDev,42867844,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-grws,6.7.17,amd64,6.7.17_AssayDev,43243228,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-grws,6.7.17,amd64,6.7.17.1_AssayDev,43243228,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-igvservlet,6.7.15,amd64,6.7.15_AssayDev,201064812,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-igvservlet,6.7.15.1,amd64,6.7.15.1_AssayDev,201064820,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-igvservlet,6.7.15.1,amd64,6.7.15.2_AssayDev,201064820,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-igvservlet,6.7.16,amd64,6.7.16_AssayDev,201064812,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-igvservlet,6.7.17,amd64,6.7.17_AssayDev,201064816,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-igvservlet,6.7.17,amd64,6.7.17.1_AssayDev,201064816,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-irgv,6.7.15,amd64,6.7.15_AssayDev,79483736,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-irgv,6.7.15,amd64,6.7.15.1_AssayDev,79483736,6.7.15,TRUE,6.7.15.1,TRUE
ts-assaydev-irgv,6.7.15,amd64,6.7.15.2_AssayDev,79483736,6.7.15,TRUE,6.7.15.2,TRUE
ts-assaydev-irgv,6.7.15,amd64,6.7.16_AssayDev,79483736,6.7.15,TRUE,6.7.16,TRUE
ts-assaydev-irgv,6.7.15,amd64,6.7.17_AssayDev,79483736,6.7.15,TRUE,6.7.17,TRUE
ts-assaydev-irgv,6.7.15,amd64,6.7.17.1_AssayDev,79483736,6.7.15,TRUE,6.7.17.1,TRUE
ts-assaydev-iruploader,6.7.15,amd64,6.7.15_AssayDev,301360780,6.7.15,TRUE,6.7.15,TRUE
